n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.664598 0.634493 0.437172 0.447753 0.459329 0.709442
5 0.665199 0.634605 0.435291 0.455259 0.458469 0.735651
7 0.673479 0.642392 0.447627 0.477403 0.468435 0.781715
9 0.688139 0.655835 0.470618 0.505857 0.488754 0.816392
11 0.705883 0.671926 0.497451 0.536326 0.513148 0.841200
13 0.724383 0.688715 0.524722 0.566059 0.538180 0.859220
16 0.751205 0.712636 0.562721 0.606443 0.573371 0.878242
20 0.781404 0.739627 0.604263 0.649832 0.612285 0.894501
23 0.798432 0.755295 0.628049 0.673931 0.634516 0.902558
28 0.817770 0.774088 0.656615 0.701391 0.660633 0.911306
33 0.829526 0.786597 0.675803 0.718460 0.677394 0.916475
38 0.836637 0.794865 0.688753 0.728965 0.688054 0.919463
45 0.841456 0.801578 0.699868 0.736374 0.696114 0.921381
52 0.842424 0.804541 0.705500 0.738431 0.698909 0.921658
60 0.840538 0.804939 0.707440 0.736794 0.698069 0.920695
69 0.835875 0.803127 0.706019 0.732123 0.694322 0.918495
79 0.828765 0.799747 0.701959 0.725400 0.688768 0.915089
91 0.818936 0.795090 0.695510 0.716885 0.681883 0.910116
104 0.807871 0.790192 0.687872 0.708025 0.674938 0.904052
119 0.795380 0.785236 0.679144 0.698667 0.667786 0.896584
135 0.782771 0.780788 0.670549 0.689780 0.661295 0.888401
154 0.768997 0.776424 0.661785 0.680564 0.655201 0.878708
174 0.755726 0.772602 0.654254 0.672094 0.650442 0.868707
198 0.740795 0.768417 0.646578 0.662796 0.645903 0.857082
223 0.725635 0.763715 0.638896 0.653138 0.641361 0.845420
252 0.708531 0.757404 0.629507 0.641389 0.635535 0.832256
285 0.690308 0.749262 0.617986 0.627421 0.627908 0.817532
321 0.672028 0.739385 0.604324 0.611507 0.618169 0.801676
362 0.653086 0.727036 0.587668 0.592879 0.605674 0.784177
407 0.635079 0.712739 0.569266 0.573293 0.592089 0.766165
457 0.619071 0.696875 0.550493 0.553884 0.578863 0.748026
513 0.606077 0.679277 0.532365 0.534895 0.566381 0.730321
575 0.596261 0.659661 0.515981 0.516003 0.554908 0.713648
645 0.588261 0.636764 0.499771 0.495518 0.543544 0.697241
723 0.580961 0.610165 0.479407 0.472115 0.530420 0.679210
809 0.572968 0.579828 0.452561 0.444463 0.515185 0.657621
905 0.563567 0.545737 0.418454 0.412052 0.499387 0.630934
1011 0.553775 0.510999 0.380239 0.378581 0.485334 0.599702
1130 0.543587 0.480139 0.341352 0.348912 0.474071 0.566559
1261 0.531841 0.458387 0.304667 0.327190 0.464694 0.537282
1407 0.515080 0.445273 0.269092 0.310293 0.452589 0.511581
1570 0.491281 0.434061 0.230288 0.293778 0.433861 0.481582
1750 0.460593 0.423630 0.187820 0.276916 0.406893 0.444680
1950 0.424808 0.419111 0.145702 0.260629 0.371678 0.402539
