n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.736635 0.675082 0.525406 0.522575 0.505146 0.783218
5 0.713532 0.652417 0.486235 0.501967 0.474203 0.786491
7 0.687556 0.626832 0.445085 0.482411 0.441541 0.803035
9 0.678012 0.614624 0.431421 0.479752 0.433784 0.822025
11 0.674605 0.606736 0.426307 0.483333 0.434977 0.838065
13 0.674212 0.601605 0.425748 0.490392 0.440598 0.851123
16 0.676046 0.598237 0.430181 0.504475 0.452910 0.866185
20 0.678856 0.599111 0.440163 0.524400 0.470218 0.879993
23 0.680022 0.601811 0.448349 0.537399 0.481591 0.887011
28 0.680387 0.607624 0.460836 0.553507 0.496020 0.894405
33 0.680531 0.613650 0.470449 0.564014 0.505228 0.898216
38 0.681519 0.619012 0.476767 0.570690 0.510272 0.899726
45 0.683743 0.624636 0.480761 0.575692 0.512337 0.899427
52 0.685889 0.628050 0.480584 0.577550 0.510761 0.897404
60 0.687740 0.629737 0.476862 0.577501 0.506409 0.893786
69 0.688741 0.629483 0.469687 0.575890 0.499703 0.888614
79 0.688347 0.627589 0.459832 0.573181 0.491361 0.882068
91 0.686355 0.624299 0.447366 0.569626 0.481569 0.873778
104 0.682974 0.620073 0.434095 0.566099 0.472304 0.864756
119 0.677935 0.614441 0.419642 0.562795 0.463969 0.854926
135 0.671602 0.607796 0.405979 0.560209 0.458249 0.845691
154 0.663148 0.599537 0.392490 0.557870 0.455147 0.836379
174 0.653478 0.590983 0.381058 0.555680 0.454777 0.827915
198 0.641076 0.581185 0.369083 0.552560 0.455407 0.818180
223 0.627826 0.571320 0.355992 0.548352 0.454422 0.807218
252 0.613538 0.561021 0.339619 0.543141 0.450124 0.793173
285 0.600351 0.552039 0.321777 0.538718 0.442989 0.776602
321 0.589524 0.545719 0.305963 0.535972 0.434936 0.759541
362 0.579536 0.542218 0.293622 0.534375 0.426969 0.742423
407 0.569247 0.542022 0.285740 0.534050 0.420083 0.726222
457 0.557408 0.544805 0.281562 0.535256 0.414521 0.710795
513 0.543162 0.549944 0.280291 0.537328 0.410259 0.696358
575 0.526432 0.556474 0.280922 0.538948 0.406577 0.683150
645 0.508111 0.564310 0.282899 0.539554 0.402741 0.670607
723 0.490757 0.573030 0.284979 0.538743 0.398415 0.658660
809 0.476071 0.581542 0.285414 0.536161 0.393809 0.647391
905 0.464420 0.588934 0.283804 0.532017 0.391146 0.637796
1011 0.455077 0.594322 0.280073 0.526400 0.391928 0.630273
1130 0.446583 0.597187 0.272650 0.519318 0.395136 0.622747
1261 0.438745 0.597479 0.259467 0.510550 0.397800 0.612865
1407 0.432504 0.596258 0.240697 0.502148 0.401561 0.599375
1570 0.428348 0.594704 0.215494 0.496621 0.407411 0.579229
1750 0.428810 0.593651 0.185948 0.494197 0.413216 0.551423
1950 0.434417 0.592451 0.155287 0.493437 0.416530 0.518330
